Beru,2005,104 min,8.3,Drama            ,kannada
Amma I Love You,2018,147 min,7.4,Drama            ,kannada
That Girl in Yellow Boots,2010,103 min,6.6,"Crime, Drama, Mystery            ",kannada
Bachchan,2013,145 min,6.6,"Action, Crime, Thriller            ",kannada
Raam,2009,149 min,6.6,"Comedy, Drama            ",kannada
Munnudi,2000,108 min,6.6,Family            ,kannada
Halli Mestru,1992,162 min,6.9,"Comedy, Drama            ",kannada
Shiva Sainya,1996,138 min,8.5,"Action, Drama            ",kannada
Bhinna,2019,95 min,7.4,Thriller            ,kannada
8MM Bullet,2018,146 min,7,Crime            ,kannada
Bhanta,2008,154 min,7.1,Drama            ,kannada
Gubbi Mele Bramhastra,2019,143 min,5,Comedy            ,kannada
Deadly Affair,2020,97 min,4.2,Mystery            ,kannada
Aatagara,2015,129 min,8,"Mystery, Romance, Thriller            ",kannada
Preethse,2000,155 min,7.7,Thriller            ,kannada
Navelru... Half Boiled,2019,118 min,7.6,Drama            ,kannada
Bandhana,1984,139 min,7.5,"Drama, Musical, Romance            ",kannada
Gantumoote,2019,115 min,8.1,Drama            ,kannada
Bangaarada Panjara,1973,165 min,8.1,Comedy            ,kannada
C++,2019,100 min,4.6,Thriller            ,kannada
2nd half,2018,136 min,5.5,Thriller            ,kannada
Dharmasere,1979,119 min,6.9,Drama            ,kannada
Aryan,2014,113 min,4.8,"Drama, Sport            ",kannada
Sundara Swapnagalu,1986,126 min,6.9,Drama            ,kannada
Krishnan Love Story,2010,146 min,6.9,"Action, Drama            ",kannada
Tarak,2017,158 min,7.3,"Action, Drama, Romance            ",kannada
Haseena,2004,90 min,8.1,Drama            ,kannada
Rajannana Maga,2018,143 min,7.8,Action            ,kannada
Whistle,2013,112 min,5.5,"Horror, Thriller            ",kannada
Bhakta Kanakadasa,1960,127 min,8,"Biography, Drama, History            ",kannada
Relax Satya,2018,126 min,5.8,"Crime, Thriller            ",kannada
Yuvarathnaa,2021,161 min,5.8,"Action, Drama            ",kannada
Appu,2002,140 min,8.5,"Action, Comedy, Romance            ",kannada
Chelisuva Modagalu,1982,157 min,8.3,"Drama, Musical            ",kannada
Soorappa,2000,158 min,7.3,"Action, Drama            ",kannada
Kempe Gowda,2011,141 min,7.1,"Action, Crime, Thriller            ",kannada
Maleyali Jotheyali,2009,138 min,7.9,"Comedy, Drama, Romance            ",kannada
Kahi,2016,95 min,6.8,Drama            ,kannada
Chandu,2002,136 min,7,Romance            ,kannada
Ayushmanbava,2019,145 min,5.9,"Action, Drama            ",kannada
Divangatha Manjunathana Geleyaru,2018,123 min,8.9,Drama            ,kannada
Avale Nanna Hendthi,1988,145 min,7.1,Comedy            ,kannada
Vamshi,2008,139 min,7.2,"Action, Drama            ",kannada
Chingari,2012,148 min,5.6,"Action, Thriller            ",kannada
Guri,1986,146 min,8,"Action, Crime, Thriller            ",kannada
Aa Dinagalu,2007,136 min,8,"Crime, Drama, Romance            ",kannada
Jessie,2016,123 min,6.4,"Drama, Romance            ",kannada
Ondu Muthina Kathe,1987,131 min,7.5,Drama            ,kannada
Life Jothe Ondu Selfie,2018,121 min,7.1,Romance            ,kannada
Bell Bottom,2019,130 min,8.2,"Comedy, Thriller            ",kannada
Veera Madakari,2009,175 min,6.5,Action            ,kannada
Maduveya Mamatheya Kareyole,2016,136 min,6.3,"Comedy, Drama, Romance            ",kannada
Alegalu,2012,92 min,7.9,"Action, Adventure, Drama            ",kannada
Katheyondu Shuruvagide,2018,133 min,7.4,"Comedy, Romance            ",kannada
Aavahayami,2017,97 min,8.6,Mystery            ,kannada
Panchatantra,2019,138 min,6,Romance            ,kannada
Shathaya Gathaya,2018,114 min,8.6,Drama            ,kannada
Bombay Mittai,2015,121 min,5.4,"Comedy, Drama            ",kannada
Kalpana 2,2016,150 min,5.7,"Comedy, Horror            ",kannada
Ammachi Yemba Nenapu,2018,132 min,7.9,Drama            ,kannada
Upendra,1999,138 min,8.7,"Drama, Thriller            ",kannada
Dhairyam,2017,145 min,6.3,"Action, Family, Thriller            ",kannada
Neenello Naanalle,2006,156 min,6.2,"Drama, Romance            ",kannada
Bhajarangi,2013,172 min,6.2,"Action, Fantasy            ",kannada
Surya Vamsha,1999,175 min,8,Drama            ,kannada
Arasu,2007,152 min,7.3,Drama            ,kannada
Malgudi Days,2020,154 min,6.5,Drama            ,kannada
Kiragoorina Gayyaligalu,2016,139 min,8.4,"Crime, Drama            ",kannada
Chomana Dudi,1975,141 min,8.4,Drama            ,kannada
Raajadhaani,2011,134 min,6.5,"Action, Crime, Drama            ",kannada
Bisile,2010,128 min,6.2,"Comedy, Drama            ",kannada
Partha,2003,147 min,7.1,"Action, Romance            ",kannada
Aalemane,1981,107 min,6.9,"Drama, Thriller            ",kannada
Rama Shama Bhama,2005,180 min,7.8,Comedy            ,kannada
Raktha Gulabi,2021,132 min,9.4,Crime            ,kannada
Kapata Nataka Paatradhaari,2019,116 min,6.8,Drama            ,kannada
Saarathi,2011,166 min,7.2,"Action, Drama, Romance            ",kannada
